Year	AvgTemperature
2016	64.2
2015	49.4
2014	48.8
2013	46.4
2012	47.9
2011	48.7
2010	48.9
2009	49.1
2008	49
2007	51.9
2006	51.7
2005	51.3
2004	47
2003	46.9
2002	47.5
2001	45.9
2000	44.5
1999	50.7
1998	54
1997	52.6
1996	54.2
1995	51
1994	53.5
1993	54.2
1992	54.2
1991	52.6
1990	55.5
1989	53.8
1988	54.3
1987	57.4
1986	56.9
1985	50.4
1984	50.1
1983	54.1
1982	49.1
1981	48.8
1980	50.7
1979	51.6
1978	52.6
1977	56.3
1976	59
1975	59.4
1974	55.5
1973	57
1972	60.8
1971	61.8
1970	57.7
1969	56.1
1968	53.4
1967	51.4
1966	52.6
1965	52.5
1964	57.5
1963	55.1
1962	54.3
1961	63
1960	60
1959	48.3
1958	55.3
1957	52.2
1956	56.6
1955	54.7
1954	51.9
1953	54.5
1952	58.5
1951	53.4
1950	51.8
1949	53.3
1948	65.6
1947	68.7
1946	58.4
1945	55.1
1944	52.8
1943	53.9
1942	54.8
1941	55
1940	52.8
1939	56.1
1938	56.5
1937	56.7
1936	51.4
1935	51.6
1934	53.3
1933	56.4
1932	54.7
1931	54.5
1930	53.4
1929	56.6
1928	53.2
1927	46.6
1926	47.4
1925	52
1924	62.2
1923	64.2
1922	59.5
1921	59
1920	54.9
1919	54.2
1918	57.8
1917	60
1916	61.1
1915	56.2
1914	56.1
1913	54.6
1912	54.5
1911	52
1910	56.6
1909	60.4
1908	62.7
1907	61
1906	56.5
1905	56
1904	53.1
1903	51.1
1902	57.2
1901	56.3
1900	56.5
1899	60.8
1898	60.4
1897	61.5
1896	60.4
1895	59.7
1894	61.5
1893	63.9
1892	63.7
1891	66.7
1890	75.1
1889	77.2
1888	74.6
1887	69.4
1886	67.4
1885	68.2
1884	63.3
1883	60.4
1882	65.6
1881	68.9
1880	68.4
1879	70.1
1878	70.3
1877	68
1876	62.6
1875	64.3
1874	72
1873	73.9
1872	68.2
1871	67.7
1870	67.2
1869	67.7
1868	68.3
1867	68.2
1866	66.8
1865	64.6
1864	66.7
1863	67.7
1862	68.6
1861	69.3
1860	70.4
1859	72.6
1858	70.6
1857	70.5
1856	69.1
1855	68.6
1854	70.3
1853	69.2
1852	69.2
1851	71.5
1850	71.4
1849	71.9
1848	70
1847	76.5
1846	73.4
1845	75.9
1844	74.5
1843	73.8
1842	72.8
1841	74.6
1840	75.8
1839	75.8
1838	75.1
1837	73.6
1836	77.7
1835	78.6
1834	77.4
1833	76.2
1832	73
1831	73.9
1830	72.9
1829	74.1
1828	76.6
1827	75.9
1826	76.7
1825	76.1
1824	75.5
1823	74.6
1822	76.7
1821	76.5
1820	76.4
1819	76.6
1818	77.7
1817	78.3
1816	76.9
1815	83.4
1814	81.6
1813	77.2
1812	80.4
1811	79.3
1810	81.1
1809	80.7
1808	80.3
1807	79.4
1806	78.8
1805	79.7
1804	80.1
1803	79.9
1802	77.6
1801	78.6
1800	78.5
1799	78.3
1798	78.4
1797	78.9
1796	-99
1795	-99
1794	85.7
1793	82.1
1792	79.5
1791	81
1790	78.9
1789	77.6
1788	79.4
1787	79.8
1786	79
1785	77.5
1784	78.3
1783	76.2
1782	77.4
1781	76
1780	74.9
1779	73.8
1778	75.6
1777	75.8
1776	76
1775	73
1774	72.9
1773	76.3
1772	79.6
1771	84.2
1770	76
1769	76
1768	76
1767	75.9
1766	75.7
1765	70.6
1764	73.6
1763	75.1
1762	75.2
1761	72.5
1760	69.4
1759	69.9
1758	71
1757	72
1756	74
1755	71.9
1754	67.9
1753	67.8
1752	69.3
1751	68.6
1750	66
1749	65.3
1748	62.6
1747	65.2
1746	66.7
1745	67
1744	70.6
